apiKeyId,provider,model,promptTokens,completionTokens,costUsd,costEstimated,latencyMs,cacheHit,cacheKind,status,createdAt
key-1,cache,local-small,0,0,0.00000000,f,37,t,semantic,success,2026-08-24 18:01:54.933
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:54.964
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:55.031
key-1,local,local-small,31,48,0.00002230,f,124,f,,success,2026-08-24 18:01:55.243
key-1,local,local-small,26,43,0.00001980,f,120,f,,success,2026-08-24 18:01:55.313
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:55.376
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:55.434
key-1,local,local-small,32,49,0.00002280,f,123,f,,success,2026-08-24 18:01:55.446
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:55.496
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:55.563
key-1,local,local-small,30,47,0.00002180,f,120,f,,success,2026-08-24 18:01:55.568
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:55.631
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:55.697
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:55.83
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:55.896
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:56.029
key-1,local,local-small,32,49,0.00002280,f,261,f,,success,2026-08-24 18:01:56.046
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:56.097
key-1,local,local-small,31,48,0.00002230,f,121,f,,success,2026-08-24 18:01:56.103
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:56.163
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:56.231
key-1,local,local-small,32,49,0.00002280,f,122,f,,success,2026-08-24 18:01:56.509
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:56.563
key-1,local,local-small,32,49,0.00002280,f,125,f,,success,2026-08-24 18:01:56.582
key-1,local,local-small,31,48,0.00002230,f,276,f,,success,2026-08-24 18:01:56.597
key-1,local,local-small,28,45,0.00002080,f,119,f,,success,2026-08-24 18:01:56.635
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:56.697
key-1,local,local-small,28,45,0.00002080,f,122,f,,success,2026-08-24 18:01:56.783
key-1,cache,local-small,0,0,0.00000000,f,24,t,semantic,success,2026-08-24 18:01:56.785
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:56.896
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:56.963
key-1,local,local-small,32,49,0.00002280,f,121,f,,success,2026-08-24 18:01:56.975
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:57.162
key-1,local,local-small,28,45,0.00002080,f,121,f,,success,2026-08-24 18:01:57.169
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:57.229
key-1,local,local-small,25,42,0.00001930,f,120,f,,success,2026-08-24 18:01:57.238
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:57.363
key-1,local,local-small,30,47,0.00002180,f,121,f,,success,2026-08-24 18:01:57.437
key-1,cache,local-small,0,0,0.00000000,f,1,t,exact,success,2026-08-24 18:01:57.631
key-1,local,local-small,29,46,0.00002130,f,120,f,,success,2026-08-24 18:01:57.637
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:57.696
key-1,local,local-small,32,49,0.00002280,f,252,f,,success,2026-08-24 18:01:57.706
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:57.762
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:57.83
